map_id,H,W,ksize,num_obstacles,obstacle_density_pct,a1_time_ms,a1_multiplications,a1_additions,a1_comparisons,a2_time_ms,a2_multiplications,a2_additions,a2_comparisons,speedup_time_x,ratio_muls_x,ratio_adds_x,ratio_cmps_x
1,512,512,3,10,0.0038,9.014020,0,3145728,4974596,0.000579,90,120,262324,15559.299,0.000,26214.400,18.964
2,512,512,3,510,0.1945,6.886458,0,3145728,4974596,0.014111,4581,6120,271315,488.032,0.000,514.008,18.335
3,512,512,3,1010,0.3853,7.403184,0,3145728,4974596,0.029258,9054,12120,280288,253.034,0.000,259.549,17.748
4,512,512,3,1510,0.5760,6.324435,0,3145728,4974596,0.041116,13554,18120,289288,153.818,0.000,173.605,17.196
5,512,512,3,2010,0.7668,6.218137,0,3145728,4974596,0.054531,18045,24120,298279,114.029,0.000,130.420,16.678
6,512,512,3,2510,0.9575,6.241179,0,3145728,4974596,0.068173,22530,30120,307264,91.549,0.000,104.440,16.190
7,512,512,3,3010,1.1482,6.672353,0,3145728,4974596,0.110901,27003,36120,316237,60.165,0.000,87.091,15.731
8,512,512,3,3510,1.3390,6.421365,0,3145728,4974596,0.095606,31527,42120,325261,67.165,0.000,74.685,15.294
9,512,512,3,4010,1.5297,6.373145,0,3145728,4974596,0.106299,35973,48120,334207,59.955,0.000,65.373,14.885
10,512,512,3,4510,1.7204,6.233351,0,3145728,4974596,0.137896,40476,54120,343210,45.203,0.000,58.125,14.494
11,512,512,3,5010,1.9112,5.934741,0,3145728,4974596,0.138657,44955,60120,352189,42.801,0.000,52.324,14.125
12,512,512,3,5510,2.1019,6.201286,0,3145728,4974596,0.149328,49449,66120,361183,41.528,0.000,47.576,13.773
13,512,512,3,6010,2.2926,6.685505,0,3145728,4974596,0.166706,53934,72120,370168,40.103,0.000,43.618,13.439
14,512,512,3,6510,2.4834,6.088178,0,3145728,4974596,0.178835,58437,78120,379171,34.044,0.000,40.268,13.120
15,512,512,3,7010,2.6741,5.909358,0,3145728,4974596,0.188682,62922,84120,388156,31.319,0.000,37.396,12.816
16,512,512,3,7510,2.8648,5.908096,0,3145728,4974596,0.209299,67422,90120,397156,28.228,0.000,34.906,12.526
17,512,512,3,8010,3.0556,5.736183,0,3145728,4974596,0.223583,71886,96120,406120,25.656,0.000,32.727,12.249
18,512,512,3,8510,3.2463,6.471599,0,3145728,4974596,0.249645,76443,102120,415177,25.923,0.000,30.804,11.982
19,512,512,3,9010,3.4370,5.751102,0,3145728,4974596,0.261368,80832,108120,424066,22.004,0.000,29.095,11.731
20,512,512,3,9510,3.6278,5.999823,0,3145728,4974596,0.269226,85338,114120,433072,22.285,0.000,27.565,11.487
21,512,512,3,10010,3.8185,6.175820,0,3145728,4974596,0.271877,89868,120120,442102,22.715,0.000,26.188,11.252
22,512,512,3,10510,4.0092,6.481497,0,3145728,4974596,0.296505,94342,126120,451076,21.860,0.000,24.942,11.028
23,512,512,3,11010,4.2000,6.436196,0,3145728,4974596,0.446842,98829,132120,460063,14.404,0.000,23.810,10.813
24,512,512,3,11510,4.3907,6.308926,0,3145728,4974596,0.359339,103347,138120,469081,17.557,0.000,22.775,10.605
25,512,512,3,12010,4.5815,6.389871,0,3145728,4974596,0.483132,107808,144120,478042,13.226,0.000,21.827,10.406
26,512,512,3,12510,4.7722,6.053767,0,3145728,4974596,0.373041,112359,150120,487093,16.228,0.000,20.955,10.213
27,512,512,3,13010,4.9629,6.148513,0,3145728,4974596,0.398115,116760,156120,495994,15.444,0.000,20.149,10.030
28,512,512,3,13510,5.1537,6.221176,0,3145728,4974596,0.403416,121281,162120,505015,15.421,0.000,19.404,9.850
29,512,512,3,14010,5.3444,5.957008,0,3145728,4974596,0.404806,125763,168120,513997,14.716,0.000,18.711,9.678
