map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,79.585565,0.000573,138892.78
2,3010,0.29,75.324350,0.123844,608.22
3,6010,0.57,80.105122,0.245867,325.81
4,9010,0.86,79.621325,0.405011,196.59
5,12010,1.15,81.097812,0.493244,164.42
6,15010,1.43,85.080079,0.659056,129.09
7,18010,1.72,87.998832,0.780006,112.82
8,21010,2.00,89.671917,0.906989,98.87
9,24010,2.29,94.877593,1.068703,88.78
10,27010,2.58,94.456983,3.583468,26.36
11,30010,2.86,100.627344,3.714043,27.09
12,33010,3.15,98.760807,3.733612,26.45
13,36010,3.43,104.086225,4.370400,23.82
14,39010,3.72,103.125900,4.312688,23.91
15,42010,4.01,109.834291,4.815632,22.81
16,45010,4.29,108.976020,5.024239,21.69
17,48010,4.58,113.756818,5.347265,21.27
18,51010,4.86,115.405306,5.708466,20.22
19,54010,5.15,122.058290,6.108019,19.98
20,57010,5.44,121.076123,6.392940,18.94
21,60010,5.72,126.166701,6.844356,18.43
22,63010,6.01,131.843636,7.116246,18.53
23,66010,6.30,131.590540,7.431945,17.71
24,69010,6.58,132.867234,7.751576,17.14
25,72010,6.87,136.971898,8.208101,16.69
26,75010,7.15,139.317909,8.497761,16.39
27,78010,7.44,142.387832,8.787069,16.20
28,81010,7.73,146.184741,9.071011,16.12
29,84010,8.01,150.028678,9.659557,15.53
30,87010,8.30,154.014063,11.539635,13.35
31,90010,8.58,155.065840,10.113389,15.33
32,93010,8.87,159.130554,10.182110,15.63
33,96010,9.16,162.843848,10.829357,15.04
34,99010,9.44,166.007118,10.933389,15.18
35,102010,9.73,169.079588,11.485258,14.72
36,105010,10.01,172.514341,11.732459,14.70
37,108010,10.30,178.547323,18.781200,9.51
38,111010,10.59,180.336735,15.002723,12.02
39,114010,10.87,180.402684,19.458423,9.27
40,117010,11.16,187.942303,17.358948,10.83
41,120010,11.45,189.175220,14.594905,12.96
42,123010,11.73,193.179736,14.136303,13.67
43,126010,12.02,192.181137,14.148168,13.58
44,129010,12.30,202.720870,14.819230,13.68
45,132010,12.59,196.765947,14.310140,13.75
46,135010,12.88,208.745091,15.108823,13.82
47,138010,13.16,211.648045,15.801626,13.39
48,141010,13.45,204.823147,14.951856,13.70
49,144010,13.73,218.913095,16.237253,13.48
50,147010,14.02,217.030976,15.997470,13.57
57
