map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.02,5.429729,0.000514,10563.68
2,1010,1.54,5.953740,0.162235,36.70
3,2010,3.07,6.198072,0.152837,40.55
4,3010,4.59,7.897467,0.234757,33.64
5,4010,6.12,8.037024,0.260998,30.79
6,5010,7.64,9.282739,0.273901,33.89
7,6010,9.17,10.870131,0.288610,37.66
8,7010,10.70,11.388531,0.398307,28.59
9,8010,12.22,12.393156,0.602894,20.56
10,9010,13.75,13.996056,0.487036,28.74
11,10010,15.27,14.811172,0.569316,26.02
12,11010,16.80,15.282358,0.601703,25.40
13,12010,18.33,16.525340,0.542719,30.45
14,13010,19.85,16.726215,0.615211,27.19
15,14010,21.38,17.820575,0.666570,26.73
16,15010,22.90,18.478644,0.709142,26.06
17,16010,24.43,19.285073,0.813927,23.69
18,17010,25.96,19.221838,0.707574,27.17
19,18010,27.48,20.718634,0.893989,23.18
20,19010,29.01,20.526055,0.783862,26.19
21,20010,30.53,21.044895,0.831080,25.32
22,21010,32.06,21.403026,0.939232,22.79
23,22010,33.58,22.139095,0.986206,22.45
24,23010,35.11,23.361021,1.259775,18.54
25,24010,36.64,23.760434,1.072382,22.16
26,25010,38.16,24.551184,1.052117,23.34
27,26010,39.69,24.785118,1.143389,21.68
28,27010,41.21,25.143183,1.181698,21.28
29,28010,42.74,25.406484,1.700171,14.94
30,29010,44.27,25.230686,1.381796,18.26
31,30010,45.79,25.279626,1.873694,13.49
32,31010,47.32,25.797638,1.488686,17.33
33,32010,48.84,25.702668,1.351358,19.02
34,33010,50.37,25.707591,1.397026,18.40
35,34010,51.90,25.199425,1.572960,16.02
36,35010,53.42,24.602297,1.734232,14.19
37,36010,54.95,24.498219,1.679228,14.59
38,37010,56.47,23.958545,1.557991,15.38
39,38010,58.00,24.203416,4.358046,5.55
40,39010,59.52,23.154779,4.888258,4.74
41,40010,61.05,23.148329,4.541728,5.10
42,41010,62.58,22.668907,4.795239,4.73
43,42010,64.10,21.328334,4.841494,4.41
44,43010,65.63,21.680688,4.903527,4.42
45,44010,67.15,19.494742,4.710899,4.14
46,45010,68.68,18.724444,5.143587,3.64
47,46010,70.21,18.190922,5.064339,3.59
48,47010,71.73,17.571477,5.018106,3.50
49,48010,73.26,17.488383,5.451179,3.21
50,49010,74.78,17.419832,5.809763,3.00
