map_id,num_obstacles,obstacle_density_pct,raster_ms,obstacle_driven_ms,speedup_x
1,10,0.00,18.515486,0.000716,25859.62
2,2010,0.77,19.123963,0.212360,90.05
3,4010,1.53,20.616066,0.274976,74.97
4,6010,2.29,21.103776,0.390802,54.00
5,8010,3.06,25.278263,0.569326,44.40
6,10010,3.82,24.923721,0.638563,39.03
7,12010,4.58,26.843108,0.578554,46.40
8,14010,5.34,28.941188,0.696995,41.52
9,16010,6.11,30.826663,1.101583,27.98
10,18010,6.87,34.123491,0.890821,38.31
11,20010,7.63,36.971188,1.042938,35.45
12,22010,8.40,38.373398,1.004217,38.21
13,24010,9.16,40.849052,1.076778,37.94
14,26010,9.92,43.278175,1.712170,25.28
15,28010,10.68,46.372995,1.364755,33.98
16,30010,11.45,48.535088,1.458514,33.28
17,32010,12.21,50.561406,1.535744,32.92
18,34010,12.97,52.966599,1.538018,34.44
19,36010,13.74,55.468676,1.593515,34.81
20,38010,14.50,57.374899,1.697977,33.79
21,40010,15.26,59.155264,2.110643,28.03
22,42010,16.03,60.022021,1.836462,32.68
23,44010,16.79,59.210952,2.106293,28.11
24,46010,17.55,60.916500,1.892891,32.18
25,48010,18.31,62.661598,1.968039,31.84
26,50010,19.08,67.126157,2.322732,28.90
27,52010,19.84,70.141746,2.319163,30.24
28,54010,20.60,71.305125,2.841088,25.10
29,56010,21.37,73.091076,2.515882,29.05
30,58010,22.13,74.872967,2.646507,28.29
31,60010,22.89,76.910082,3.078329,24.98
32,62010,23.65,78.145094,3.323002,23.52
33,64010,24.42,79.846386,2.973903,26.85
34,66010,25.18,77.161310,2.765350,27.90
35,68010,25.94,77.083351,2.882890,26.74
36,70010,26.71,81.133226,3.125646,25.96
37,72010,27.47,85.726073,3.753768,22.84
38,74010,28.23,87.328486,3.348394,26.08
39,76010,29.00,88.584007,3.313517,26.73
40,78010,29.76,88.966144,3.495410,25.45
41,80010,30.52,88.771615,3.354374,26.46
42,82010,31.28,91.424053,4.337573,21.08
43,84010,32.05,87.464924,3.814095,22.93
44,86010,32.81,86.126080,3.632666,23.71
45,88010,33.57,91.139586,4.712041,19.34
46,90010,34.34,93.834991,3.671176,25.56
47,92010,35.10,95.704267,3.988784,23.99
48,94010,35.86,97.158995,4.609364,21.08
49,96010,36.62,96.085127,5.001556,19.21
50,98010,37.39,98.695773,5.093684,19.38
