matrix_name,time_ms
Map_10,0.116842
Map_60,0.148419
Map_110,0.150059
Map_160,0.152287
Map_210,0.135652
Map_260,0.173356
Map_310,0.125346
Map_360,0.135473
Map_410,0.137035
Map_460,0.136932
Map_510,0.137959
Map_560,0.155419
Map_610,0.152444
Map_660,0.153601
Map_710,0.154456
Map_760,0.155066
Map_810,0.184025
Map_860,0.131103
Map_910,0.131684
Map_960,0.132312
Map_1010,0.137241
Map_1060,0.171624
Map_1110,0.147605
Map_1160,0.135583
Map_1210,0.149335
Map_1260,0.141471
Map_1310,0.138498
Map_1360,0.138671
Map_1410,0.139644
Map_1460,0.140428
Map_1510,0.180447
Map_1560,0.142349
Map_1610,0.143160
Map_1660,0.144080
Map_1710,0.195838
Map_1760,0.145801
Map_1810,0.146453
Map_1860,0.147346
Map_1910,0.174706
Map_1960,0.148822
Map_2010,0.149564
Map_2060,0.150672
Map_2110,0.193434
Map_2160,0.152564
Map_2210,0.153044
Map_2260,0.153947
Map_2310,0.188937
Map_2360,0.155583
Map_2410,0.156825
Map_2460,0.157449
