matrix_name,time_us
Map_44,123.515
Map_20,148.895
Map_28,148.975
Map_2,150.460
Map_16,138.271
Map_31,174.146
Map_60,152.960
Map_9,135.644
Map_4,130.496
Map_9,143.315
Map_60,145.485
Map_39,187.501
Map_58,143.971
Map_48,143.417
Map_21,144.194
Map_4,143.575
Map_6,133.383
Map_6,121.194
Map_30,183.605
Map_42,144.204
Map_54,144.130
Map_11,143.286
Map_15,133.347
Map_54,121.093
Map_23,120.275
Map_58,160.481
Map_44,120.695
Map_29,120.489
Map_58,120.855
Map_36,119.702
Map_50,120.226
Map_24,119.583
Map_54,120.987
Map_6,159.596
Map_24,120.251
Map_7,119.834
Map_47,120.457
Map_7,119.549
Map_8,119.687
Map_1,120.157
Map_7,119.557
Map_32,158.118
Map_43,120.212
Map_23,119.568
Map_11,119.367
Map_19,120.017
Map_54,120.244
Map_24,119.426
Map_1,140.035
Map_27,133.376
