matrix_name,time_ms
Map_10,1.893184
Map_60,1.702311
Map_110,1.707351
Map_160,1.702388
Map_210,1.657831
Map_260,1.659062
Map_310,1.596721
Map_360,1.995789
Map_410,1.734792
Map_460,1.658704
Map_510,1.615365
Map_560,1.661321
Map_610,1.632514
Map_660,1.625325
Map_710,1.649866
Map_760,1.586748
Map_810,1.792508
Map_860,1.760481
Map_910,1.725278
Map_960,1.657854
Map_1010,1.663931
Map_1060,1.623128
Map_1110,1.580867
Map_1160,1.667662
Map_1210,1.625394
Map_1260,1.658260
Map_1310,1.769635
Map_1360,1.704290
Map_1410,1.580850
Map_1460,1.616687
Map_1510,1.770564
Map_1560,1.954654
Map_1610,1.950304
Map_1660,1.692484
Map_1710,1.843886
Map_1760,1.762133
Map_1810,1.904990
Map_1860,1.590931
Map_1910,1.682288
Map_1960,1.660618
Map_2010,1.609916
Map_2060,1.644169
Map_2110,1.674097
Map_2160,1.581624
Map_2210,1.601326
Map_2260,1.633005
Map_2310,1.600169
Map_2360,1.690451
Map_2410,1.558266
Map_2460,1.805105
