matrix_name,time_ms
Map_10,0.874392
Map_60,0.715255
Map_110,0.642098
Map_160,0.671335
Map_210,0.700018
Map_260,0.706949
Map_310,0.703075
Map_360,0.705302
Map_410,0.667409
Map_460,0.656987
Map_510,0.830088
Map_560,0.730626
Map_610,0.738464
Map_660,0.701489
Map_710,0.668436
Map_760,0.749142
Map_810,0.882861
Map_860,0.769991
Map_910,0.677813
Map_960,0.739762
Map_1010,0.717958
Map_1060,0.719752
Map_1110,0.725157
Map_1160,0.862904
Map_1210,0.851841
Map_1260,0.767964
Map_1310,0.709626
Map_1360,0.769975
Map_1410,0.846183
Map_1460,0.748222
Map_1510,0.711635
Map_1560,0.779295
Map_1610,0.776844
Map_1660,0.753916
Map_1710,0.718800
Map_1760,0.724359
Map_1810,0.762749
Map_1860,0.769493
Map_1910,0.744147
Map_1960,0.696328
Map_2010,0.875525
Map_2060,0.858759
Map_2110,0.714272
Map_2160,0.763782
Map_2210,0.767224
Map_2260,0.826121
Map_2310,0.817241
Map_2360,0.941212
Map_2410,0.988646
Map_2460,1.038912
Map_2510,0.839563
Map_2560,0.824525
Map_2610,0.806289
Map_2660,0.831296
Map_2710,0.833875
Map_2760,0.779509
Map_2810,0.834202
Map_2860,0.828100
Map_2910,1.073078
Map_2960,0.857734
Map_3010,0.797157
Map_3060,0.835072
Map_3110,0.856772
Map_3160,0.843981
Map_3210,0.901170
Map_3260,0.914488
Map_3310,0.905194
Map_3360,0.822152
Map_3410,0.905855
Map_3460,1.150614
Map_3510,1.062977
Map_3560,1.003212
Map_3610,0.859113
Map_3660,0.893839
Map_3710,0.963615
Map_3760,0.885537
Map_3810,0.881854
Map_3860,0.884761
Map_3910,0.907627
Map_3960,0.891080
Map_4010,0.874038
Map_4060,0.904519
Map_4110,0.918725
Map_4160,0.903185
Map_4210,0.907539
Map_4260,1.056274
Map_4310,0.993787
Map_4360,1.002086
Map_4410,0.936585
Map_4460,1.043403
Map_4510,1.094160
Map_4560,1.067901
Map_4610,1.078459
Map_4660,0.961637
Map_4710,0.962327
Map_4760,0.972913
Map_4810,0.913024
Map_4860,0.949088
Map_4910,0.954258
Map_4960,0.956866
Map_5010,0.980994
Map_5060,0.963425
Map_5110,0.964898
Map_5160,0.968262
Map_5210,0.973089
Map_5260,0.992063
Map_5310,0.998148
Map_5360,0.982986
Map_5410,1.050207
Map_5460,1.086707
Map_5510,1.015102
Map_5560,0.996476
Map_5610,1.030287
Map_5660,1.021986
Map_5710,1.002973
Map_5760,0.973280
Map_5810,0.979766
Map_5860,1.278006
Map_5910,1.168320
Map_5960,1.047410
Map_6010,1.105168
Map_6060,1.027519
Map_6110,0.999383
Map_6160,1.056209
Map_6210,1.057373
Map_6260,1.042015
Map_6310,1.061764
Map_6360,1.198686
Map_6410,1.053563
Map_6460,1.065679
Map_6510,1.077176
Map_6560,1.029782
Map_6610,1.065314
Map_6660,1.069748
Map_6710,1.077160
Map_6760,1.173064
Map_6810,1.234393
Map_6860,1.260137
Map_6910,1.054085
Map_6960,1.118407
Map_7010,1.164830
Map_7060,1.097596
Map_7110,1.101613
Map_7160,1.120150
Map_7210,1.301225
Map_7260,1.149297
Map_7310,1.112487
Map_7360,1.081437
Map_7410,1.088908
Map_7460,1.088700
Map_7510,1.128712
Map_7560,1.122100
Map_7610,1.172438
Map_7660,1.101254
Map_7710,1.279795
Map_7760,1.200102
Map_7810,1.194663
Map_7860,1.294262
Map_7910,1.220146
Map_7960,1.182323
Map_8010,1.170728
Map_8060,1.253651
Map_8110,1.518658
Map_8160,1.296182
Map_8210,1.289040
Map_8260,1.311388
Map_8310,1.384910
Map_8360,1.440552
Map_8410,1.201909
Map_8460,1.206135
Map_8510,1.233527
Map_8560,1.201889
Map_8610,1.218680
Map_8660,1.310763
Map_8710,1.255985
Map_8760,1.286772
Map_8810,1.495209
Map_8860,1.226334
Map_8910,1.282546
Map_8960,1.226083
Map_9010,1.292774
Map_9060,1.494198
Map_9110,1.314317
Map_9160,1.323580
Map_9210,1.319722
Map_9260,1.326091
Map_9310,1.293518
Map_9360,1.265539
Map_9410,1.233814
Map_9460,1.302314
Map_9510,1.396087
Map_9560,1.643471
Map_9610,1.340359
Map_9660,1.259314
Map_9710,1.245837
Map_9760,1.663232
Map_9810,1.352517
Map_9860,1.384546
Map_9910,1.334172
Map_9960,1.474027
